선명,KTX(회/일),ITX(회/일),새마을(회/일),무궁화(회/일),누리로(회/일),통근(회/일),전동차(회/일),경기,충북,충남,대전,경북,대구,경남,울산,부산,전북,광주,전남,강원
경부선,105,,16,52,6,,392,1,1,1,1,1,1,1,1,1,,,,
호남선,56,,12,50,4,,,1,1,1,1,,,,,,1,1,1,
전라선,28,,4,24,,,,1,1,1,1,,,,,,1,,1,
장항선,,,10,18,,,3,,,,,,,,,,,,,
중앙선,,,4,18,,,184,1,1,,,1,,,,,,,,1
영동선,,,,6,,,,,,,,,,,,,,,,
충북선,,,,12,4,,,,,,,,,,,,,,,
대구선,,,,8,,,,,,,,,,,,,,,,
동해남부선,,,,30,,,96,,,,,,,,,,,,,
경전선,24,,4,22,,,,1,1,1,1,,1,1,,,,,,
경춘선,,36,,,,,117,,,,,,,,,,,,,
경의선,,,,,,,54,,,,,,,,,,,,,
경원선,,,,,,28,28,,,,,,,,,,,,,
경북선,,,,6,,,,,,,,,,,,,,,,
수인선,,,,,,,174,,,,,,,,,,,,,
동해선,26,,,14,,,,,,,,,,,1,1,,,,
정선선,,,,,,,,,,,,,,,,,,,,
괴동선,,,,,,,,,,,,,,,,,,,,
강릉선,,,,36,,,,1,,,,,,,,,,,,1
경강선,,,,,,,118,,,,,,,,,,,,,
경인선,,,,,,,474,,,,,,,,,,,,,
안산선,,,,,,,267,,,,,,,,,,,,,
분당선,,,,,,,360,,,,,,,,,,,,,
일산선,,,,,,,268,,,,,,,,,,,,,
